Index,US,UK
01/04/2020,26491,4936
02/04/2020,29611,4859
03/04/2020,32707,4892
04/04/2020,34249,4004
05/04/2020,25844,3589
06/04/2020,31257,5263
07/04/2020,34674,5431
08/04/2020,33086,5116
09/04/2020,34738,4854
10/04/2020,34812,4310
11/04/2020,30180,3559
12/04/2020,27266,3482
13/04/2020,26913,4166
14/04/2020,30453,4294
15/04/2020,31202,5039
16/04/2020,31700,5274
17/04/2020,31462,4936
18/04/2020,28394,4704
19/04/2020,26013,3853
20/04/2020,28530,4844
21/04/2020,26635,4767
22/04/2020,29466,5490
23/04/2020,34651,5140
24/04/2020,37423,4948
25/04/2020,31757,3744
26/04/2020,26987,3471
27/04/2020,24704,4697
28/04/2020,25308,4717
29/04/2020,28771,5422
30/04/2020,31497,4956
01/05/2020,34967,4728
02/05/2020,28375,3227
03/05/2020,25006,2978
04/05/2020,22908,3380
05/05/2020,25094,3677
06/05/2020,25583,3818
07/05/2020,28195,3764
08/05/2020,28504,3057
09/05/2020,25161,2162
10/05/2020,19911,2321
11/05/2020,18501,3568
12/05/2020,22742,3391
13/05/2020,21472,3308
14/05/2020,26492,2624
